#DatabaseID	DiseaseName
OMIM_127550	Dyskeratosis congenita, autosomal dominant, 1
OMIM_614262	Arthrogryposis, perthes disease, and upward gaze palsy
OMIM_615274	Cataract 15, multiple types
OMIM_607850	Hand osteoarthritis
OMIM_141200	Hematuria, benign familial
OMIM_108450	Asymmetric short stature syndrome
OMIM_603472	Neuronal intranuclear inclusion disease
OMIM_268700	SACCHAROPINURIA
OMIM_616734	Skin creases, congenital symmetric circumferential, 2
OMIM_613686	Spondylocostal dysostosis 4, autosomal recessive
OMIM_219400	Cyanosis and hepatic disease
OMIM_270500	Ataxia, spastic, childhood-onset, autosomal recessive, with optic atrophy and mental retardation
OMIM_614602	Trichohepatoenteric syndrome 2
OMIM_607473	Vitamin K-dependent clotting factors, combined deficiency of, 2
OMIM_607822	Alzheimer disease 3
OMIM_617616	Skraban-Deardorff syndrome
OMIM_301060	Azoospermia, obstructive, with nephrolithiasis
OMIM_612736	Cerebral creatine deficiency syndrome 2
OMIM_605750	Exudative vitreoretinopathy 3
OMIM_182150	Simosa craniofacial syndrome
OMIM_609048	Melanoma, cutaneous malignant, susceptibility to, 3
OMIM_131850	Epidermolysis bullosa dystrophica, pretibial
OMIM_618477	URIDINE-CYTIDINEURIA
OMIM_618307	Epidermodysplasia verruciformis, susceptibility to, 4
OMIM_615419	Hypotonia, infantile, with psychomotor retardation and characteristic facies 1
OMIM_617030	Myopathy, distal, 5
OMIM_212100	Cardioauditory syndrome of sanchez cascos
OMIM_601868	Deafness, autosomal dominant nonsyndromic sensorineural 13
OMIM_618129	Muscular dystrophy, limb-girdle, autosomal dominant 4
OMIM_223550	Dwarfism, proportionate, with hip dislocation
OMIM_311400	Paine syndrome
OMIM_620068	Charcot-Marie-Tooth disease, axonal, type 2II
OMIM_612158	Cardiomyopathy, dilated, 1AA, with or without LVNC
OMIM_615999	Familial dysalbuminemic hyperthyroxinemia
OMIM_235255	Mullerian derivatives, persistence of, with lymphangiectasia and postaxial polydactyly
OMIM_192700	Venular insufficiency, systemic
OMIM_614782	Tremor, hereditary essential, 4
OMIM_618331	Encephalopathy, progressive, early-onset, with episodic rhabdomyolysis
OMIM_619869	Neurocardiofaciodigital syndrome
OMIM_212050	Candidiasis, familial chronic mucocutaneous, autosomal recessive
OMIM_230000	FUCOSIDOSIS
OMIM_235900	Histiocytosis, familial lipochrome
OMIM_618328	Epileptic encephalopathy, early infantile, 71
OMIM_616515	Deafness, autosomal recessive 104
OMIM_618760	Neurodevelopmental disorder with hypotonia and autistic features with or without hyperkinetic movements
OMIM_615963	Vesicoureteral reflux 8
OMIM_618173	Retinitis pigmentosa 83
OMIM_114550	Hepatocellular carcinoma
OMIM_618824	Basal ganglia calcification, idiopathic, 8, autosomal recessive
OMIM_618960	Mitchell syndrome
OMIM_617596	Maleylacetoacetate isomerase deficiency
OMIM_184500	Steatocystoma multiplex
OMIM_219721	Cystic fibrosis with helicobacter pylori gastritis, megaloblastic anemia, and mental retardation
OMIM_602088	Nephronophthisis 2
OMIM_612233	Leukodystrophy, hypomyelinating, 4
OMIM_614113	Mental retardation, autosomal dominant 2
OMIM_308220	Immunodeficiency, X-linked, with deficiency of 115,000 dalton surfaceglycoprotein
OMIM_617391	Epileptic encephalopathy, early infantile, 54
OMIM_613265	Waardenburg syndrome, type 4B
OMIM_266500	Refsum disease
OMIM_611490	Osteopetrosis, autosomal recessive 4
OMIM_601701	Arthrogryposis and ectodermal dysplasia
OMIM_607371	Dystonia, juvenile-onset
OMIM_611407	Cardiomyopathy, dilated, 1W
OMIM_604804	Microcephaly 3, primary, autosomal recessive
OMIM_300266	Spastic paraplegia 16, X-linked
OMIM_212780	Cenani-Lenz syndactyly syndrome
OMIM_204650	Amelogenesis imperfecta, type IC
OMIM_250460	Metaphyseal dysplasia without hypotrichosis
OMIM_620033	Developmental and epileptic encephalopathy 107
OMIM_269250	Schneckenbecken dysplasia
OMIM_617248	3-methylglutaconic aciduria, type VIII
OMIM_207500	Anus, imperforate
OMIM_307700	Hypoparathyroidism, X-linked
OMIM_618309	Epidermodysplasia verruciformis, susceptibility to, 5
OMIM_309350	Melnick-Needles syndrome
OMIM_158800	Muscular dystrophy, Barnes type
OMIM_607812	Craniolenticulosutural dysplasia
OMIM_614558	Epileptic encephalopathy, early infantile, 13
OMIM_618619	Weiss-Kruszka syndrome
OMIM_227320	Faciothoracogenital syndrome
OMIM_218040	Costello syndrome
OMIM_185750	Symphalangism with multiple anomalies of hands and feet
OMIM_614173	Joubert syndrome 13
OMIM_158600	Spinal muscular atrophy, lower extremity-predominant, 1, autosomal dominant
OMIM_184900	Stiff skin syndrome
OMIM_618249	Mitochondrial complex I deficiency, nuclear type 28
OMIM_242840	Vici syndrome
OMIM_604391	Ataxia-telangiectasia-like disorder 1
OMIM_268200	Myoglobinuria, acute recurrent, autosomal recessive
OMIM_230300	GALACTORRHEA
OMIM_606054	Propionic acidemia
OMIM_124100	Danubian endemic familial nephropathy
OMIM_604185	Facial paresis, hereditary congenital, 2
OMIM_266250	Radiculoneuropathy, fatal neonatal
OMIM_176240	Postaxial oligodactyly, tetramelic
OMIM_220220	Dandy-Walker malformation with postaxial polydactyly
OMIM_300852	Intellectual developmental disorder, X-linked 88
OMIM_148500	Tylosis with esophageal cancer
OMIM_176410	Precocious puberty, male
OMIM_618977	Optic atrophy 12
OMIM_615287	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 13
OMIM_602579	Congenital disorder of glycosylation, type Ib
OMIM_615574	Asparagine synthetase deficiency
OMIM_615704	Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis
OMIM_619149	Lessel-Kreienkamp syndrome
OMIM_300717	Myopathy, reducing body, X-linked, early-onset, severe
OMIM_260005	5-@oxoprolinase deficiency
OMIM_183900	Spondyloepiphyseal dysplasia congenita
OMIM_602093	Cone dystrophy 3
OMIM_147820	Internal carotid artery, spontaneous dissection of
OMIM_251700	Microphthalmia with hyperopia, retinal degeneration, macrophakia,and dental anomalies
OMIM_128101	Dystonia 4, torsion, autosomal dominant
OMIM_608565	Deafness, autosomal recessive 35
OMIM_128700	Preauricular fistulae, congenital
OMIM_619328	Leukodystrophy, hypomyelinating, 22
OMIM_228020	Fascial dystrophy, congenital
OMIM_619661	Leukoencephalopathy, hereditary diffuse, with spheroids 2
OMIM_618167	Osteochondrodysplasia, brachydactyly, and overlapping malformed digits
OMIM_190680	Triphalangeal thumbs with brachyectrodactyly
OMIM_130650	Beckwith-Wiedemann syndrome
OMIM_161800	Nemaline myopathy 3
OMIM_120440	Colonic varices without portal hypertension
OMIM_244300	Kapur-Toriello syndrome
OMIM_613860	Immunodeficiency due to ficolin 3 deficiency
OMIM_606595	Charcot-Marie-Tooth disease, axonal, type 2F
OMIM_311895	Pierre Robin sequence with facial and digital anomalies
OMIM_614409	Spastic paraplegia 46, autosomal recessive
OMIM_617752	Mental retardation, autosomal dominant 49
OMIM_607847	Neutropenia, nonimmune chronic idiopathic, of adults
OMIM_225410	Ehlers-Danlos syndrome, type VII, autosomal recessive
OMIM_608763	Ehlers-danlos syndrome, Beasley-Cohen type
OMIM_617162	Epileptic encephalopathy, early infantile, 46
OMIM_126550	Calvarial doughnut lesions with bone fragility
OMIM_611816	Temple-Baraitser syndrome
OMIM_300009	Dent disease 1
OMIM_619048	Mitochondrial complex IV deficiency, nuclear type 4
OMIM_231080	German syndrome
OMIM_202110	Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency
OMIM_613618	Chromosome 17q23.1-q23.2 duplication syndrome
OMIM_600971	Deafness, autosomal recessive 6
OMIM_191000	Trochlea of the humerus, aplasia of
OMIM_612580	Intellectual developmental disorder, autosomal dominant 3
OMIM_309900	Mucopolysaccharidosis, type II
OMIM_603516	Spinocerebellar ataxia 10
OMIM_243500	Isovaleric acidemia
OMIM_619083	Delpire-Mcneill syndrome
OMIM_610227	Seborrhea-Like dermatitis with psoriasiform elements
OMIM_133705	External auditory canal, bilateral atresia of, with congenital verticaltalus
OMIM_611528	Arrhythmogenic right ventricular dysplasia 12
OMIM_606552	Episodic ataxia, type 4
OMIM_205700	Anemia, autoimmune hemolytic
OMIM_302400	Central incisors, absence of
OMIM_614675	Bone marrow failure syndrome 1
OMIM_604928	Wolfram syndrome 2
OMIM_176920	Proteus syndrome, somatic
OMIM_617280	Atrial fibrillation, familial, 18
OMIM_609049	Pierson syndrome
OMIM_619003	Mitochondrial complex I deficiency, nuclear type 35
OMIM_194380	Dehydrated hereditary stomatocytosis 1 with or without pseudohyperkalemia and/or perinatal edema
OMIM_618388	Fetal akinesia deformation sequence 2
OMIM_302802	Charcot-Marie-Tooth disease, X-linked recessive, 3
OMIM_611494	Atrial fibrillation, familial, 5
OMIM_300854	Renal cell carcinoma, xp11-associated
OMIM_301080	Systemic lupus erythematosus 17
OMIM_613488	Myxoid liposarcoma
OMIM_612447	Skeletal defects, genital hypoplasia, and mental retardation
OMIM_153400	Lymphedema-Distichiasis syndrome
OMIM_615107	Cowden syndrome 4
OMIM_201550	Adducted thumbs syndrome
OMIM_300884	Epileptic encephalopathy, early infantile, 36
OMIM_236500	Multinucleated neurons, anhydramnios, renal dysplasia, cerebellar hypoplasia, and hydranencephaly
OMIM_614324	Ovarian dysgenesis 3
OMIM_613628	Odontoid hypoplasia
OMIM_619303	Pontocerebellar hypoplasia, type 1E
OMIM_260450	Pancreatic insufficiency, combined exocrine
OMIM_602535	Marshall-Smith syndrome
OMIM_188580	Thyrotoxic periodic paralysis, susceptibility to, 1
OMIM_269800	Senile plaque formation
OMIM_617756	Erythrokeratodermia variabilis et progressiva 5
OMIM_156230	Mesomelic dwarfism of hypoplastic tibia and Radius type
OMIM_225250	Hypothyroidism, congenital, nongoitrous, 5
OMIM_206400	Anemia, nonspherocytic hemolytic, possibly due to defect in porphyrinmetabolism
OMIM_205100	Amyotrophic lateral sclerosis 2, juvenile
OMIM_618857	Diabetes mellitus, permanent neonatal 3, with or without neurologic features
OMIM_614526	Chromosome 17Q12 duplication syndrome
OMIM_618806	T-cell lymphopenia, infantile, with or without nail dystrophy, autosomal dominant
OMIM_617746	Sweeney-Cox syndrome
OMIM_613958	Spermatogenic failure 9
OMIM_168550	Parietal foramina with cleidocranial dysplasia
OMIM_614417	Epilepsy, familial temporal lobe, 5
OMIM_248260	Magnesium, elevated red cell
OMIM_617035	Patent ductus arteriosus 2
OMIM_251240	Microcephaly with chemotactic defect and transient hypogammaglobulinemia
OMIM_300706	Mental retardation, x-linked, syndromic, Turner type
OMIM_600512	Epilepsy, familial temporal lobe, 1
OMIM_112410	Hypertension and brachydactyly syndrome
OMIM_602477	Febrile seizures, familial, 2
OMIM_617028	Intellectual developmental disorder, autosomal recessive 54
OMIM_142350	Hernia, double inguinal
OMIM_618915	Deafness, autosomal dominant 77
OMIM_618572	Neurodevelopmental disorder with cerebellar hypoplasia and spasticity
OMIM_253601	Muscular dystrophy, limb-girdle, type 2B
OMIM_614129	Perrault syndrome 3
OMIM_614053	Mitochondrial complex V (atp synthase) deficiency, nuclear type 3
OMIM_300778	Corneal dystrophy, lisch epithelial
OMIM_615226	Polydactyly, postaxial, type A6
OMIM_617268	Neurodevelopmental disorder with hypotonia, seizures, and absent language
OMIM_608471	Corneal dystrophy, lattice type IIIA
OMIM_617018	Spinocerebellar ataxia 43
OMIM_600101	Deafness, autosomal dominant nonsyndromic sensorineural 2
OMIM_616298	Singleton-Merten syndrome 2
OMIM_144010	Hypercholesterolemia, familial, 2
OMIM_616645	Epileptic encephalopathy, early infantile, 34
OMIM_612394	Bone fragility with contractures, arterial rupture, and deafness
OMIM_609039	Narcolepsy 3
OMIM_600598	Setting-Sun phenomenon, familial benign
OMIM_616165	Nemaline myopathy 10
OMIM_191520	Upington disease
OMIM_617542	Gaze palsy, familial horizontal, with progressive scoliosis, 2
OMIM_201100	Acrodermatitis enteropathica, Zinc-Deficiency type
OMIM_120300	Coloboma of macula
OMIM_616216	Thrombocytopenia 5
OMIM_619033	Vissers-Bodmer syndrome
OMIM_223200	Disorganization, mouse, homolog of
OMIM_308600	Jaundice, familial obstructive, of infancy
OMIM_600329	Osteopetrosis and infantile neuroaxonal dystrophy
OMIM_613391	Deafness, autosomal recessive 84
OMIM_601154	Cardiomyopathy, dilated, 1E
OMIM_277700	Werner syndrome
OMIM_152900	Lymphedema and cerebral arteriovenous anomaly
OMIM_247610	Lymphoid interstitial pneumonia
OMIM_274400	Thyroid hormonogenesis, genetic defect in, 1
OMIM_600625	Orofacial cleft 11
OMIM_110050	Blepharonasofacial malformation syndrome
OMIM_256700	Neuroblastoma, susceptibility to
OMIM_619767	Pulmonary fibrosis and/or bone marrow failure, telomere-related, 6
OMIM_615685	Spastic paraplegia 61, autosomal recessive
OMIM_613003	Attention deficit-hyperactivity disorder, susceptibility to, 7
OMIM_619286	Neurodevelopmental disorder with spasticity, cataracts, and cerebellar hypoplasia
OMIM_108950	Atrial tachyarrhythmia with short pr interval
OMIM_613159	Nephronophthisis-Like nephropathy 1
OMIM_619075	Neurodevelopmental disorder with alopecia and brain abnormalities
OMIM_260800	PENTOSURIA
OMIM_616866	Spinal muscular atrophy with congenital bone fractures 1
OMIM_615181	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies, type A, 11
OMIM_162240	Neurofibromatosis-Pheochromocytoma-Duodenal carcinoid syndrome
OMIM_171480	Phocomelia-Ectrodactyly, ear malformation, deafness, and sinus arrhythmia
OMIM_607095	Anauxetic dysplasia 1
OMIM_609053	Fanconi anemia, complementation group I
OMIM_300653	Phosphoglycerate kinase 1 deficiency
OMIM_620024	Neurodevelopmental disorder with seizures, microcephaly, and brain abnormalities
OMIM_104300	Alzheimer disease
OMIM_619804	Deafness, autosomal dominant 82
OMIM_615085	Osteopetrosis, autosomal recessive 8
OMIM_235550	Hepatic venoocclusive disease with immunodeficiency
OMIM_212890	Cerebellar ataxia, benign, with thermoanalgesia
OMIM_228930	Fibular aplasia or hypoplasia, femoral bowing and poly-, syn-, and oligodactyly
OMIM_310095	Muscular dystrophy, progressive pectorodorsal
OMIM_615916	Cardiomyopathy, dilated, 1nn
OMIM_616373	Pulmonary fibrosis and/or bone marrow failure, telomere-related, 3
OMIM_115700	Cataract, crystalline aculeiform
OMIM_147400	Incisors, shovel-shaped
OMIM_131950	Epidermolysis bullosa simplex, Ogna type
OMIM_118210	Charcot-Marie-Tooth disease, axonal, type 2A1
OMIM_617609	Nephrotic syndrome, type 15
OMIM_300895	Ohdo syndrome, X-linked
OMIM_192605	Ventricular tachycardia, familial
OMIM_617284	Dystonia 28, childhood-onset
OMIM_105830	Angelman syndrome
OMIM_613470	Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerasedeficiency
OMIM_147430	Marsili syndrome
OMIM_166740	Osteosclerosis with ichthyosis and fractures
OMIM_224230	Dyskeratosis congenita, autosomal recessive 1
OMIM_610828	Holoprosencephaly 7
OMIM_128500	Ear folding
OMIM_225040	Ectodermal dysplasia, hypohidrotic, with hypothyroidism and agenesisof the corpus callosum
OMIM_613641	Charcot-marie-tooth disease, recessive intermediate B
OMIM_182950	Spinal arachnoiditis
OMIM_615396	Left ventricular noncompaction 10
OMIM_263610	Polyhydramnios, chronic idiopathic
OMIM_617481	Neurodevelopmental disorder with microcephaly, hypotonia, and variable brain anomalies
OMIM_264800	Pseudoxanthoma elasticum
OMIM_609122	Aneurysm, intracranial berry, 3
OMIM_614485	Trigonocephaly 2
OMIM_230200	Galactokinase deficiency
OMIM_610153	Deafness, autosomal recessive 49
OMIM_300983	Mental retardation, X-linked 104
OMIM_615156	Progressive external ophthalmoplegia with mitochondrial DNA deletions,autosomal dominant, 6
OMIM_300712	Craniofacioskeletal syndrome
OMIM_603543	Limb-Mammary syndrome
OMIM_601992	Friedreich ataxia 2
OMIM_617300	Lymphatic malformation 7
OMIM_608545	Larsen-Like syndrome
OMIM_619832	Auditory neuropathy, autosomal dominant 3
OMIM_600334	Tibial muscular dystrophy, tardive
OMIM_189150	Toe, rotated fifth
OMIM_125500	Dentinogenesis imperfecta, shields type III
OMIM_267740	Retinal degeneration and epilepsy
OMIM_616502	Cone-Rod dystrophy 21
OMIM_611694	Dystonia with cerebellar atrophy
OMIM_616910	Immunodeficiency-Centromeric instability-facial anomalies syndrome 3
OMIM_614407	Microcephaly, cerebellar hypoplasia, and cardiac conduction defect syndrome
OMIM_107550	Aortic arch interruption, facial palsy, and retinal coloboma
OMIM_601682	Glaucoma 1, primary open angle, C
OMIM_614924	Combined oxidative phosphorylation deficiency 12
OMIM_617926	Orofaciodigital syndrome XVII
OMIM_278300	Xanthinuria, type I
OMIM_614920	Peroxisome biogenesis disorder 14B
OMIM_614569	Multiple enchondromatosis, Maffucci type
OMIM_607015	Hurler-Scheie syndrome
OMIM_617349	Aortic aneurysm, familial thoracic 11, susceptibility to
OMIM_144300	Hyperlipoproteinemia, type II, and deafness
OMIM_612731	Faciocardiomelic syndrome
OMIM_268320	Rodrigues blindness
OMIM_614378	Cranioectodermal dysplasia 4
OMIM_255990	Nathalie syndrome
OMIM_123557	Cryptotia, familial
OMIM_118005	Cervical vertebral dysplasia
OMIM_613834	Multisystemic smooth muscle dysfunction syndrome
OMIM_601544	Deafness, autosomal dominant nonsyndromic sensorineural 3
OMIM_619873	Parenti-Mignot neurodevelopmental syndrome
OMIM_146110	Hypogonadotropic hypogonadism 7 without anosmia
OMIM_185460	Sulfhemoglobinemia, congenital
OMIM_615328	Shaheen syndrome
OMIM_614104	Mental retardation, autosomal dominant 7
OMIM_190440	Trigonocephaly 1
OMIM_252270	Myelodysplasia and leukemia syndrome with monosomy 7
OMIM_615285	Neutropenia, severe congenital, 5, autosomal recessive
OMIM_607631	Epilepsy, juvenile absence
OMIM_615458	Microcornea, myopic chorioretinal atrophy, and telecanthus
OMIM_618877	Leukoencephalopathy, developmental delay, and episodic neurologic regression syndrome
OMIM_163200	Schimmelpenning-Feuerstein-Mims syndrome
OMIM_221200	Deafness and myopia
OMIM_300919	Mental retardation, X-linked 99
OMIM_613662	Mitochondrial DNA depletion syndrome 4B (mngie type)
OMIM_190430	Triglyceride storage disease, type II
OMIM_617054	Striatonigral degeneration, childhood-onset
OMIM_601071	Deafness, autosomal recessive 9
OMIM_619446	Retinal dystrophy and microvillus inclusion disease
OMIM_268250	Rhizomelic syndrome
OMIM_604173	Poikiloderma with neutropenia
OMIM_615889	Leukoencephalopathy, progressive, with ovarian failure
OMIM_103900	Aldosteronism, glucocorticoid-remediable
OMIM_601198	Hypocalcemia, autosomal dominant 1
OMIM_603233	Pseudohypoparathyroidism, type IB
OMIM_618810	Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal
OMIM_228550	Myofibromatosis, infantile, 1
OMIM_615972	Nanophthalmos 4
OMIM_187601	Thanatophoric dysplasia, type II
OMIM_551500	Neuropathy, ataxia, and retinitis pigmentosa
OMIM_218400	Craniometaphyseal dysplasia, autosomal recessive
OMIM_615860	Cone-Rod dystrophy 19
OMIM_305620	Frontometaphyseal dysplasia
OMIM_254450	Myelofibrosis with myeloid metaplasia, somatic
DECIPHER_51	2q33.1 deletion syndrome
OMIM_314360	Ulnar hypoplasia with lobster-claw deformity of feet
OMIM_153880	Macular edema, cystoid
OMIM_618761	Catifa syndrome
OMIM_615280	Cardiofaciocutaneous syndrome 4
OMIM_616415	Familial adenomatous polyposis 3
OMIM_613094	Microphthalmia, isolated 4
OMIM_155950	Melorheostosis, isolated
OMIM_612838	Brugada syndrome 5
OMIM_618279	Charcot-Marie-Tooth disease, demyelinating, type 1G
DECIPHER_38	Pelizaeus-Merzbacher disease
OMIM_306930	Hemopoietic proliferation
OMIM_276800	TYROSINOSIS
OMIM_147750	Ivic syndrome
OMIM_616106	Psoriasis 15, pustular, susceptibility to
OMIM_215250	Chondroitin-6-Sulfaturia, defective cellular immunity, nephrotic syndrome
OMIM_617864	Neurodevelopmental disorder with or without seizures and gait abnormalities
OMIM_245660	Laryngoonychocutaneous syndrome
OMIM_219150	Cutis laxa, autosomal recessive, type IIIA
OMIM_105210	Amyloidosis, hereditary, transthyretin-related
OMIM_603830	Long QT syndrome 3
OMIM_616289	Optic atrophy 9
OMIM_301201	Amelogenesis imperfecta, hypoplastic/hypomaturation, X-linked 2
OMIM_253240	Mucus inspissation of respiratory tract
OMIM_618428	Popov-Chang syndrome
OMIM_114600	Canine teeth, absence of upper permanent
OMIM_607330	Lathosterolosis
OMIM_616445	Candidiasis, familial, 9
OMIM_239300	Hyperphosphatasia with mental retardation
OMIM_610797	Epiphyseal dysplasia, Baumann type
OMIM_266350	Red skin pigment anomaly of new guinea
OMIM_118450	Alagille syndrome 1
OMIM_620102	Retinitis pigmentosa 95
OMIM_618431	Hydatidiform mole, recurrent, 3
OMIM_615338	Epileptic encephalopathy, early infantile, 16
OMIM_600001	Pancreatic agenesis and congenital heart defects
OMIM_305350	Epidermodysplasia verruciformis, X-linked
OMIM_614741	Mitochondrial pyruvate carrier deficiency
OMIM_617339	Epileptic encephalopathy, early infantile, 51
OMIM_210500	Biliary atresia, extrahepatic
OMIM_613704	Microphthalmia, isolated 7
OMIM_617304	Retinitis pigmentosa 77
OMIM_614665	Meconium ileus
OMIM_263550	Polymyoclonus, infantile
OMIM_234810	Pulmonary venoocclusive disease 2
OMIM_614115	Cortical malformations, occipital
OMIM_602390	Hemochromatosis, type 2A
OMIM_243300	Cholestasis, benign recurrent intrahepatic 1
OMIM_618457	Deafness, autosomal recessive 115
OMIM_194050	Williams-Beuren syndrome
OMIM_174300	Orofaciodigital syndrome V
OMIM_112450	Brachydactyly, preaxial, with hallux varus and thumb abduction
OMIM_618889	Liberfarb syndrome
OMIM_160750	MYOSITIS
OMIM_618736	Structural brain anomalies with impaired intellectual development and craniosynostosis
OMIM_606392	Maturity-onset diabetes of the young, type 4
OMIM_614098	Keppen-Lubinsky syndrome
OMIM_610600	Hypoaldosteronism, congenital, due to CMO II deficiency
OMIM_258500	Optic atrophy 6
OMIM_617996	Oocyte maturation defect 5
OMIM_602199	Medium chain 3-ketoacyl-coa thiolase deficiency
OMIM_618505	Neurodevelopmental disorder with coarse facies and mild distal skeletal abnormalities
OMIM_618876	Epilepsy, progressive myoclonic, 11
OMIM_619164	Immunodeficiency 76
OMIM_611777	Brugada syndrome 2
OMIM_617877	Short stature, facial dysmorphism, and skeletal anomalies with or without cardiac anomalies
OMIM_615065	Arthrogryposis, distal, type 5D
OMIM_155240	Thyroid carcinoma, familial medullary
OMIM_154300	Malocclusion due to protuberant upper front teeth
OMIM_187501	Tetralogy of Fallot and glaucoma
OMIM_614209	Meckel syndrome, type 9
OMIM_202370	Peroxisome biogenesis disorder 2B
OMIM_256370	Nephrotic syndrome, type 4
OMIM_604827	Myoclonic epilepsy, juvenile, 2
OMIM_616402	Microcephaly 14, primary, autosomal recessive
OMIM_618778	Deafness, autosomal dominant 75
OMIM_619102	Spermatogenic failure 47
OMIM_300982	Mental retardation, X-linked 103
OMIM_134540	Factor IX and factor XI, combined deficiency of
OMIM_616688	Charcot-Marie-Tooth disease, axonal, type 2Z
OMIM_619672	Spermatogenic failure 61
OMIM_610756	Cerebrooculofacioskeletal syndrome 2
OMIM_605362	Cardiomyopathy, dilated, 1J
OMIM_257850	Oculodentodigital dysplasia, autosomal recessive
OMIM_609465	Al-Gazali syndrome
OMIM_602772	Retinitis pigmentosa 25
OMIM_300232	Spondyloepimetaphyseal dysplasia, X-linked, with mental deterioration
OMIM_100600	Acanthosis nigricans
OMIM_604317	Microcephaly 2, primary, autosomal recessive, with or without cortical malformations
OMIM_619755	Hypogonadotropic hypogonadism 27 without anosmia
OMIM_614344	Mental retardation, autosomal recessive 23
OMIM_618497	Neurodevelopmental disorder with seizures and nonepileptic hyperkinetic movements
OMIM_614180	Retinitis pigmentosa 61
OMIM_213600	Basal ganglia calcification, idiopathic, 1
OMIM_300779	Corneal dystrophy, endothelial, X-linked
OMIM_245160	Kniest-Like dysplasia with pursed lips and ectopia lentis
OMIM_262400	Growth hormone deficiency, isolated, type IA
OMIM_616390	Trichothiodystrophy 2, photosensitive
OMIM_618886	Pseudo-Torch syndrome 3
OMIM_314400	Cardiac valvular dysplasia, X-linked
OMIM_615356	Muscular dystrophy, limb-girdle, autosomal recessive 18
OMIM_300270	ADRENOMYODYSTROPHY
OMIM_256540	Galactosialidosis
OMIM_212112	Malouf syndrome
OMIM_179500	Raindrop hypopigmentation
OMIM_313850	Thoracoabdominal syndrome
OMIM_253300	Spinal muscular atrophy, type I
